"","company","Product Code","number","address","city","country","name","Category","full_address","company_phillips","company_akzo","company_van_houten","company_unilever","product_smartphone","product_tv","product_laptop","product_tablet"
"1","philips","p","5","Groningensingel 147","arnhem","the netherlands","dhr p. jansen","Smart Phone","Groningensingel 147,arnhem,the netherlands",1,0,0,0,1,0,0,0
"2","philips","p","43","Groningensingel 148","arnhem","the netherlands","dhr p. hansen","Smart Phone","Groningensingel 148,arnhem,the netherlands",1,0,0,0,1,0,0,0
"3","philips","x","3","Groningensingel 149","arnhem","the netherlands","dhr j. Gansen","Laptop","Groningensingel 149,arnhem,the netherlands",1,0,0,0,0,0,1,0
"4","philips","x","34","Groningensingel 150","arnhem","the netherlands","dhr p. mansen","Laptop","Groningensingel 150,arnhem,the netherlands",1,0,0,0,0,0,1,0
"5","philips","x","12","Groningensingel 151","arnhem","the netherlands","dhr p. fransen","Laptop","Groningensingel 151,arnhem,the netherlands",1,0,0,0,0,0,1,0
"6","philips","p","23","Groningensingel 152","arnhem","the netherlands","dhr p. franssen","Smart Phone","Groningensingel 152,arnhem,the netherlands",1,0,0,0,1,0,0,0
"7","akzo","v","43","Leeuwardenweg 178","arnhem","the netherlands","dhr p. bansen","TV","Leeuwardenweg 178,arnhem,the netherlands",0,1,0,0,0,1,0,0
"8","akzo","v","12","Leeuwardenweg 179","arnhem","the netherlands","dhr p. vansen","TV","Leeuwardenweg 179,arnhem,the netherlands",0,1,0,0,0,1,0,0
"9","akzo","x","5","Leeuwardenweg 180","arnhem","the netherlands","dhr p. bransen","Laptop","Leeuwardenweg 180,arnhem,the netherlands",0,1,0,0,0,0,1,0
"10","akzo","p","34","Leeuwardenweg 181","arnhem","the netherlands","dhr p. janssen","Smart Phone","Leeuwardenweg 181,arnhem,the netherlands",0,1,0,0,1,0,0,0
"11","akzo","q","5","Leeuwardenweg 182","arnhem","the netherlands","mevr l.  rokken","Tablet","Leeuwardenweg 182,arnhem,the netherlands",0,1,0,0,0,0,0,1
"12","akzo","q","9","Leeuwardenweg 183","arnhem","the netherlands","mevr l.  lokken","Tablet","Leeuwardenweg 183,arnhem,the netherlands",0,1,0,0,0,0,0,1
"13","akzo","x","8","Leeuwardenweg 184","arnhem","the netherlands","mevr l.  mokken","Laptop","Leeuwardenweg 184,arnhem,the netherlands",0,1,0,0,0,0,1,0
"14","philips","p","56","Delfzijlstraat 54","arnhem","the netherlands","mevr l.  mokken","Smart Phone","Delfzijlstraat 54,arnhem,the netherlands",1,0,0,0,1,0,0,0
"15","philips","v","67","Delfzijlstraat 55","arnhem","the netherlands","mevr l.  mokken","TV","Delfzijlstraat 55,arnhem,the netherlands",1,0,0,0,0,1,0,0
"16","philips","v","21","Delfzijlstraat 56","arnhem","the netherlands","mevr l.  mokken","TV","Delfzijlstraat 56,arnhem,the netherlands",1,0,0,0,0,1,0,0
"17","van houten","x","45","Delfzijlstraat 57","arnhem","the netherlands","mevr l.  sokken","Laptop","Delfzijlstraat 57,arnhem,the netherlands",0,0,1,0,0,0,1,0
"18","van houten","v","56","Delfzijlstraat 58","arnhem","the netherlands","mevr l.  wokken","TV","Delfzijlstraat 58,arnhem,the netherlands",0,0,1,0,0,1,0,0
"19","van houten","v","65","Delfzijlstraat 59","arnhem","the netherlands","mevr l.  kokken","TV","Delfzijlstraat 59,arnhem,the netherlands",0,0,1,0,0,1,0,0
"20","van houten","x","21","Delfzijlstraat 60","arnhem","the netherlands","mevr l.  Bokken","Laptop","Delfzijlstraat 60,arnhem,the netherlands",0,0,1,0,0,0,1,0
"21","van houten","p","23","Delfzijlstraat 61","arnhem","the netherlands","mevr l.  dokken","Smart Phone","Delfzijlstraat 61,arnhem,the netherlands",0,0,1,0,1,0,0,0
"22","unilever","x","3","Jourestraat 23","arnhem","the netherlands","mevr l.  gokken","Laptop","Jourestraat 23,arnhem,the netherlands",0,0,0,1,0,0,1,0
"23","unilever","q","4","Jourestraat 24","arnhem","the netherlands","mevr l.  stokken","Tablet","Jourestraat 24,arnhem,the netherlands",0,0,0,1,0,0,0,1
"24","unilever","q","6","Jourestraat 25","arnhem","the netherlands","mevr l.  rokken","Tablet","Jourestraat 25,arnhem,the netherlands",0,0,0,1,0,0,0,1
"25","unilever","q","8","Jourestraat 26","arnhem","the netherlands","mevr l.  rokken","Tablet","Jourestraat 26,arnhem,the netherlands",0,0,0,1,0,0,0,1
